"postId","commentId","content","timestamp","likeCount"
"OTcYhxRkQ9E","Ugwl9Y3pu-OGFX_jUCN4AaABAg","Nhưng mà tôi ơ
Miên băc😊😊❤❤","14/08/2025 19:09","0"
"OTcYhxRkQ9E","UgznRVQWBi1z-JbnEXB4AaABAg","sợ quá","07/09/2024 18:03","0"
"OTcYhxRkQ9E","UgysbkagV_xRLMWqr9x4AaABAg","Có tới hò chí minh ko ạ 🥶","08/09/2024 09:16","0"
"OTcYhxRkQ9E","UgwipsFSf4MVnvzZQDJ4AaABAg","Bão Kajiki 25/8/2025 thì vd này đc đề xuất lại","26/08/2025 21:42","0"
"OTcYhxRkQ9E","Ugzfu03DxRMN3CoPu894AaABAg","Tui ở miền nam nên không sao","07/09/2024 13:38","0"
"OTcYhxRkQ9E","UgypoCi3jwqwsstvIR94AaABAg","Miền bắc gió , mưa , sấm sợ vl","07/09/2024 06:05","0"
"OTcYhxRkQ9E","UgwzgkpEXMcZGXHpeJB4AaABAg","Nam mô đừng tới việc nam","07/09/2024 19:56","0"
"OTcYhxRkQ9E","UgxreRj16WqYdJUYNpF4AaABAg","Mạnh hơn Noru không vậy ad ơi","06/09/2024 11:50","0"
"OTcYhxRkQ9E","Ugx4aQ6P6tGZjEHyFBt4AaABAg","tui ở việt trì","10/11/2025 17:04","0"
"OTcYhxRkQ9E","UgyA3xhVGWWxs9Vd7z94AaABAg","Bây giờ bão wipha rồi mạnh hơn rồi giật cấp 13   bảo này cũng số 3 đó","08/08/2025 09:15","0"
"OTcYhxRkQ9E","UgyRq2fGQI_65e7cvxh4AaABAg","Sau malisiki với prapiroon đúng ko","18/10/2025 06:21","0"
"OTcYhxRkQ9E","Ugwy8I4hYEEJHVqXDCx4AaABAg","giờ là bão wipha^^","21/07/2025 19:37","2"
"OTcYhxRkQ9E","Ugx63jHlKP-GSbVe2jJ4AaABAg","Kinh lắm cây đổ lần lần luôn","06/09/2024 16:25","1"
"OTcYhxRkQ9E","UgzYGNVNgJu5n8GpnBV4AaABAg","Tui la 15","07/09/2024 10:54","0"
"OTcYhxRkQ9E","UgyM--qDMPfHjTa6vVd4AaABAg","tui ở hải phòng chết tui rồi ☠️☠️☠️☠️","06/09/2024 13:23","1"
"OTcYhxRkQ9E","UgweDTeBpWLn69vp7RV4AaABAg","Đêm nay bão tới Hà Nội rồi","07/09/2024 19:08","1"
